序号	类型	作者/项目/版本	国别	仓库地址	用途	是否捐赠基金会	对应事项
1	开源组件	redisson/2.15.0	俄罗斯	pkg:maven/org/redisson/redisson@2.15.0?type=jar	分布式锁和对象存储	否	动态链接
2	开源组件	pinyin4j/2.5.1	中国	pkg:maven/com/belerweb/pinyin4j@2.5.1?type=jar	中文拼音转换	否	动态链接
3	开源组件	spring-boot-dependencies/2.5.15	美国	pkg:maven/org/springframework/boot/spring-boot-dependencies@2.5.15?type=jar	Spring应用开发框架	否	动态链接
4	开源组件	druid-spring-boot-starter/1.2.20	中国	pkg:maven/com/alibaba/druid-spring-boot-starter@1.2.20?type=jar	Spring应用开发框架	否	动态链接
5	开源组件	UserAgentUtils/1.21	欧盟	pkg:maven/eu/bitwalker/UserAgentUtils@1.21?type=jar	用户代理解析	否	动态链接
6	开源组件	pagehelper-spring-boot-starter/1.4.7	全球	pkg:maven/com/github/pagehelper/pagehelper-spring-boot-starter@1.4.7?type=jar	Spring应用开发框架	否	动态链接
7	开源组件	oshi-core/6.4.8	全球	pkg:maven/com/github/oshi/oshi-core@6.4.8?type=jar	系统信息获取	否	动态链接
8	开源组件	knife4j-spring-boot-starter/3.0.3	全球	pkg:maven/com/github/xiaoymin/knife4j-spring-boot-starter@3.0.3?type=jar	Spring应用开发框架	否	动态链接
9	开源组件	commons-io/2.13.0	未知	pkg:maven/commons-io/commons-io@2.13.0?type=jar	IO操作工具	否	动态链接
10	开源组件	poi-ooxml/4.1.2	美国	pkg:maven/org/apache/poi/poi-ooxml@4.1.2?type=jar	Microsoft Office文档处理	否	动态链接
11	开源组件	velocity-engine-core/2.3	美国	pkg:maven/org/apache/velocity/velocity-engine-core@2.3?type=jar	模板引擎	否	动态链接
12	开源组件	commons-collections/3.2.2	未知	pkg:maven/commons-collections/commons-collections@3.2.2?type=jar	集合操作工具	否	动态链接
13	开源组件	fastjson2/2.0.43	中国	pkg:maven/com/alibaba/fastjson2/fastjson2@2.0.43?type=jar	JSON处理	否	动态链接
14	开源组件	jjwt/0.9.1	未知	pkg:maven/io/jsonwebtoken/jjwt@0.9.1?type=jar	JWT令牌生成和验证	否	动态链接
15	开源组件	kaptcha/2.3.3	全球	pkg:maven/pro/fessional/kaptcha@2.3.3?type=jar	验证码生成	否	动态链接
16	开源组件	QLExpress/3.3.1	中国	pkg:maven/com/alibaba/QLExpress@3.3.1?type=jar	规则引擎	否	动态链接
17	开源组件	thumbnailator/0.4.14	美国	pkg:maven/net/coobird/thumbnailator@0.4.14?type=jar	图片处理	否	动态链接
18	开源组件	dbs-quartz/1.0.0	未知	pkg:maven/com/yundee/dbs-quartz@1.0.0?type=jar	定时任务调度	否	动态链接
19	开源组件	dbs-generator/1.0.0	未知	pkg:maven/com/yundee/dbs-generator@1.0.0?type=jar	暂无	否	动态链接
20	开源组件	dbs-framework/1.0.0	未知	pkg:maven/com/yundee/dbs-framework@1.0.0?type=jar	暂无	否	动态链接
21	开源组件	dbs-system/1.0.0	未知	pkg:maven/com/yundee/dbs-system@1.0.0?type=jar	暂无	否	动态链接
22	开源组件	dbs-common/1.0.0	未知	pkg:maven/com/yundee/dbs-common@1.0.0?type=jar	暂无	否	动态链接
23	开源组件	dbs-manage/1.0.0	未知	pkg:maven/com/yundee/dbs-manage@1.0.0?type=jar	暂无	否	动态链接
24	开源组件	dashscope-sdk-java/2.16.3	中国	pkg:maven/com/alibaba/dashscope-sdk-java@2.16.3?type=jar	暂无	否	动态链接
25	开源组件	spring-boot-devtools/${version}	美国	pkg:maven/org/springframework/boot/spring-boot-devtools@${version}?type=jar	Spring应用开发框架	否	动态链接
26	开源组件	mysql-connector-java/8.0.29	美国	pkg:maven/mysql/mysql-connector-java@8.0.29?type=jar	暂无	否	动态链接
27	开源组件	spring-context-support/${version}	美国	pkg:maven/org/springframework/spring-context-support@${version}?type=jar	暂无	否	动态链接
28	开源组件	spring-web/${version}	美国	pkg:maven/org/springframework/spring-web@${version}?type=jar	暂无	否	动态链接
29	开源组件	spring-boot-starter-security/${version}	美国	pkg:maven/org/springframework/boot/spring-boot-starter-security@${version}?type=jar	Spring应用开发框架	否	动态链接
30	开源组件	spring-boot-starter-validation/${version}	美国	pkg:maven/org/springframework/boot/spring-boot-starter-validation@${version}?type=jar	Spring应用开发框架	否	动态链接
31	开源组件	commons-lang3/${version}	美国	pkg:maven/org/apache/commons/commons-lang3@${version}?type=jar	暂无	否	动态链接
32	开源组件	jackson-databind/${version}	未知	pkg:maven/com/fasterxml/jackson/core/jackson-databind@${version}?type=jar	暂无	否	动态链接
